01469,Hari Bin Kaise Jivoon Ri
01470,Hum Ko Mann Ki Shakti Dena
01471,Kanon Ki Ek Nagri
01472,Logon Ke Ghar Mein Rahta Hoon
01473,Machal Kar Jab Bhi Ankhon Se
01474,Suno Na Bhabhi
01475,Do Deewane Shaher Mein
01476,Mausam Mausam Lovely Mausam
01477,Aaj Bichhde Hain
01478,Surmai Shaam
01479,Ab To Muskuraiye Zara
01480,Bole Re Papihara
01481,Zindagi Phoolon Ki Nahin
01482,Din Kuchh Aise Guzaarta Hai Koi
01483,Do Sondhe Sondhe Se Jism
01484,Aaj Phir Chaand Ki Peshaani Se Uthtaa Hai Dhuaan
01485,Aao Phir Nazm Kahein
01486,Agar Aisa Bhi Ho Sakta
01487,Badi Udaas Hai Vaadi
01488,Bas Ek Hi Sur Mein Ek Hi Laya Pe
01489,Bas Ek Jhadge Kaa Lamha Thha
01490,Beete Rishte Talash Karti Hai
01491,Dikhaaee Dete Hain In Lakeerein Mein Saaye Koi
01492,Ek Lams Halka Subuk
01493,Ek Sannata Bhara Hua
01494,Haan Mere Gham Toh Utha Leta Hai
01495,Ik Naql Tujhe Bhi Bhejoonga
01496,Jagah Nahin Ab Dairy Mein
01497,Jaise Jhanna Ke Chatakh Jaaye
01498,Kabhi Kabhi Jab Main Baith Jaata Hoon
01499,Kahaan Chhupa Di Hai Raat
01500,Kal Ki Raat Giri Thhi Shabnam
01501,Khalaaon Mein Tairate Jazeeron Mein
01502,Khol Kar Bahon Ke Do
01503,Kis Qadar Seedha Sehal Saaf Hai Rasta Dekho
01504,Kuch Aise Aakar Gira Hai
01505,Mere Kapdon Mein Tanga Hai
01506,Mitaa Do Saare Nishaan Ke Thhe Tum
01507,Os Padi Thhi Raat Bahut
01508,Pehle Se Kya Likha Thha
01509,Raat Bhar Sard Hava Chalti Rahi
01510,Rooh Dekhi Hai Kabhi
01511,Saans Lena Bhi Kaisi Aadat Hai-Gulzar
01512,Sab Kuchh Vaise Hi Chalta Hai
01513,Sirf Ehsaas Ke Paas Ho Tum
01514,Sunehari Koonje Jab
01515,Sur Vahi Saazon Pe Chalti Huee Aawaaz Vahi
01516,Takiye Pe Tere Voh Sar Ka
01517,Tere Aankhon Se Hi
01518,Us Raat Bahut Sannata Thha
01519,Voh Jo Shaayar Thha
01520,Worth Jo Scent Hai Mitti Ka
01521,Yaad Hai Ek Din
01522,Yeh Kaisi Umr Mein Aakar Mili Ho Tum
01523,Ek Akela Is Shaher Mein
01524,Dil Dhundta Hain
01644,Dhanno Ki Aankhon Mein
01645,Do Naina Aur Ek Kahani
01646,Masterji Ki Aa Gayi Chitthi
01647,Tujhse Naraz Nahin Zindagi
01648,Golmaal Hai Bhai Sab Golmaal
01649,Lakdi Ki Kathi
01650,Qayda Qayda
01651,Huzur Is Kadar
01912,Dhuan Uttha Hai
01913,Haath Choote
01914,Ibteda
01915,Jaag Ke Kati
01916,Tere Khayal Ki
01935,Dost Kahan Koi Tumsa
01992,Tum Pukar Lo Tumhara Intezar Hai
01993,Meri Jaan Mujhe Jaan Na Kaho
01994,Ganga Aaye Kahan Se
01995,Koi Chupke Se Aake
01996,Mera Dil Jo Mera Hota
02026,Duniya Mein Do Sayane
02071,Maine Tere Liye
02426,Jab Bhi Yeh Dil Udas Hota Hai
02691,Barse Phuhar
02692,Aise Danton Mein Ungli Dabao Nahin
02693,Jhoothe Naina
02694,Saaf Karo Insaf Karo
02816,Bechara Dil Kya Kare
02817,Roz Roz Dali Dali
02818,Aanki Chali Baanki Chali
02819,Badi Der Se Megha Barsaa
02820,Ghar Jayegi Tar Jayegi
02821,Hoton Pe Beeti Baat
02822,Piya Bawri Piya Bawri
02823,Sare Niyam Tod Do
02824,Sun Sun Sun Didi
02825,Chhoti Si Kahani Se
02826,Katra Katra
02827,Mera Kuchh Samaan
02828,Khali Hath Sham Aai Hai
02977,Botal Se Ik Baat Chali
03066,Hawaon Pe Likhdo Hawaon Ke Naam
03067,Woh Sham Kuchh Ajeeb Thi
03068,Koi Hota Jisko Apna
03157,Dakiya Daak Laya
03216,Jane Kya Sochkar
03217,Raah Pe Rahte Hain
03218,Ek Din Sapne Mein Dekha Sapna
03219,Musafir Hoon Yaron
03220,Phir Wohi Raat Hai Khwab Ki
03221,O Majhi Re Apna Kinara
03222,Aanewala Pal Janewala Hai
03258,Haal Chaal Thik Thak Hai
03322,Allah Megh De Paani De
03351,Sa Re Ke Sa Re
03625,Jhir Jhir Barse Sawan
03626,Roz Akeli Aaye
03627,Suniyo Ji Ek Araj
03628,Ruke Ruke Se Qadam
03629,Yara Seeli Seeli
03630,Hamne Dekhi Hai Un Ankhon Ki
03909,Koi Mere Mathe Ki Bindiya
03948,Meethe Bol Bole
03949,Thodi Si Zamin Thoda Aasman
03950,Beeti Na Bitai Raina
03951,Abke Na Sawan Barse
03952,Do Nainon Mein Ansoo Bhare Hai
03953,Ek Baat Kahoon Gar Mano Tum
03954,Tere Bina Jiya Jaye Na
03955,Aajkal Paon Zameen Par Nahin Padte
03956,Naam Goom Jayega
03957,Tujhse Naraz Nahin Zindagi
03996,Mora Gora Ang Laile
04100,Humsafar Mere Humsafar
04155,Chhadi Re Chhadi
04248,Dabe Labon Se Kabhi Jo Koi Salam Le
04299,Ankhon Mein Humne Aapke Sapne
04300,Hazaar Rahen
04363,Chand Churake Laya Hoon
04364,Gulmohar Gar Tumhara Naam Hota
04365,Aap Ki Ankhon Mein Kuch
04366,Is Mod Se Jate Hain
04367,Tum Aa Gaye Ho Noor Aa Gaya
04368,Tere Bina Zindagi Se
