01966,Jai Jagdish Hare
01967,Lahron Pe Laher
01968,Na Jao Saiyan Chhuda Ke Baiyan
01969,Na Yeh Chand Hoga
01970,Piya Aiso Jiya Mein Samaya Gayo
01971,Tum Aur Hum Bhool Ke Gham
01972,Zara Nazron Se Kah Do Ji
01973,Aaya Toofan Bekadar
01974,Chale Aao Chale Aao
01975,Door Ka Raahi
01976,Na Yeh Chand Hoga
01977,Chand Ghatne Laga
01978,Door Desh Se Koi Sapera Aaya
01979,Ghunghat Ke Pat Khol
01980,Jab Jaag Uthe Arman
01981,Jabse Mili Tose Ankhiyan
01982,Lat Uljhi Hai Suljha De
01983,Saiyan Doli Leke Aaye
01984,Ae Dil Mujhe Bata De
01985,Beqarar Karke Hamen Yun Na Jaiye
01986,Chali Gori Pee Se Milan Ko
01987,O Babu O Laila Mausam Dekho Chala
01988,Log Peete Hain
01989,Yeh Nain Dare Dare
01990,Ya Dil Ki Suno Duniyawalo
01991,Raah Bani Khud Manzil
01992,Tum Pukar Lo Tumhara Intezar Hai
01993,Meri Jaan Mujhe Jaan Na Kaho
01994,Ganga Aaye Kahan Se
01995,Koi Chupke Se Aake
01996,Mera Dil Jo Mera Hota
01997,Gori Gori Raat Hai Taron Ki
01998,Humko Chhod Ke Kahan Jaoge
01999,Preetam Aan Milo
02000,Mera Naam Chin Chin Chu
02001,Dekho Jadoo Bhare More Nain
02002,Jata Kahan Hai Deewane
02003,Kaisa Jadoo Balam Tune Dara
02004,Ja Ja Ja Bewafa
02005,Babuji Dheere Chalna
02006,Karib Aao Na
02007,Ae Dil Ab Kahin Le Ja
02008,Aaja Mere Pyar Aaja
02009,Na Main Dhan Chahun
02010,Hawa Dheere Se Aana
02011,Hai Apna Dil To Aawara
02012,Aaja Chhaye Kare Badra
02013,Hai Apna Dil To Aawara
02014,Na Tum Hamen Jano Na Hum
02015,Aaj Ki Raat Piya Dil Na Todo
02016,Chup Hai Dharti Chup Hai Chand
02017,Jane Kya Tune Kahi
02018,Jane Woh Kaise Log The
02019,Dil Ki Umangein Hai Jawan
02020,Tadbeer Se Bigdi Huyi Taqdeer
02021,Yeh Raat Yeh Chandni
02022,Ek Do Teen Char Aur Panch
02023,Waqt Ne Kiya Kya Haseen Sitam
02024,Dekho Dekhoji Balam
02025,Hazaar Haathwale Mandir Ke Dwar Khule
02026,Duniya Mein Do Sayane
02027,Main Tere Pyar Mein
02028,Aan Milo Shyam Sanware
02029,Sajan Ki Ho Gayi Gori
02164,Khayalon Mein Kisi Ke Is Tarah
02572,Jane Kahan Mera Jigar Gaya Ji
02573,Sun Sun Sun Sun Zalima
02574,Udhar Tum Hasin Ho
02575,Ankhon Hi Ankhon Mein
02576,Yeh Hai Bombay Meri Jaan
02577,Rimjhim Ke Tarane Leke Aai Barsaat
02578,Hum Aap Ki Ankhon Mein
02871,Dupatta Mera Malmal Ka
02872,Jaanu Jaanu Ri
03256,Ankhon Mein Tum Dil Mein Tum Ho
03257,De Bhi Chuke Hum Dil Nazrana
04053,Dekho Woh Chand Chhupke
04054,Nain Se Nain
04055,O Neend Na Mujhko Aaye
04056,Jaag Dard E Ishq Jaag
04057,Ankhiyan Bhul Gayi Hai Sona
04058,Ek Baar Zara Phir Keh Do
04059,Hum Panchhi Mastane
04060,Umr Huyi Tumse Mile
04061,Yaad Kiya Dil Ne
04062,Chandan Ka Palna Resham Ko Dori
04063,Yeh Raat Yeh Chandni
04118,Ham Bhi Hain Tum Bhi Ho
