0056,Auva Auva Koi Yahan Nache
0057,Bambai Se Aaya Mera Dost
0058,Dance Dance
0059,Hari Om Hari
0060,I Am A Disco Dancer
0061,Ramba Ho Ho Ho Samba Ho Ho Ho
0062,Yaad Aa Raha Hai
0063,Aaye Hain Woh Mazaar Pe
0064,Aye Khuda Shukr Tera
0065,Bhari Barsat Mein Dil Jalaya
0066,Boom Boom
0067,Dhiktana (Part 1)
0068,Duniya Se Door Ek Nai Duniya
0069,Ganga Tere Ghat Pe
0070,Gulabi Chude Wali Yeh Dil Mod De
0071,Gunja Re
0072,Hamne Mana Hampe Sajan Jobanwa Bharpoor Hai
0073,Jaana
0074,Jab Jab Tu Mere Samne Aaye
0075,Jee Le Le Jee Le Le
0076,Jeena Bhi Kya Koi Jeena Hai
0077,Jogi Ji Dheere Dheere
0078,Kahan Kahan Pe
0079,Kahe Toh Se Sajna
0080,Kali Ghodi Dwar Khadi
0081,Kasam Paida Karnewale Ki
0082,Kasmein Hum Apni Jaan Ki Khaye
0083,Kaun Disha Mein Leke Chala
0084,Main Ek Panchhi Matwala Re
0085,Marna Bhi Mohabbat Mein
0086,Mere Jaisi Haseena
0087,Meri Jaane Jana
0088,Mujhe Tum Se Mohabbat Hai
0089,Nani Teri Morni Ko
0090,Ni Sa Ga Ma Pa Ni Sa Re Sa
0091,Ooe Ooe
0092,Otashi Anata
0093,Rail Gaadi
0094,Rang Di Rang Di
0095,Roop Suhana Lagta Hai
0096,Tarzan My Tarzan
0097,Tum Jo Bhi Ho Dil Aaj Do
0098,Vash Malle
0099,Yeh Kaisi Ajab Dastan Ho Gayi
0100,Yeh Sama
0101,Yeh Zindagi Chaman Hai
0102,Yehi Hai Pyar
1399,Are Yaaro Mere Pyaro
1400,O Mungada Mungada
1401,Yahan Ke Hum Sikandar
1402,Humse Hai Sara Jahan
1403,Ishq Da Rutba
1404,Naam Hai Mera Fonseca
1409,Jimmy Jimmy Jimmy Aaja
1410,Rang Barse Bheege Chunarwali
1422,Ghar Aaja Pardesi
1423,Main Sasural Nahin Jaoongi
1424,Mere Paas Aao Mere Dosto
1433,Neele Gagan Ke Tale
1434,Jag Gaya Jag Gaya
1435,Kase Kahoon Mann Ki Baat
1436,Na Na Na Re
1437,Tum Apna Ranjhogham Apni
1461,Dhol Bajne Laga
1462,Ek Bagiya Mein
1463,Humko Aajkal Hai Intezaar
1464,Meri Sanson Mein
1465,Strawberry Aankhen
1467,Kahe Kanha Karat Barjori
1468,Nache Ang Ve
1479,Ab To Muskuraiye Zara
1480,Bole Re Papihara
1481,Zindagi Phoolon Ki Nahin
1527,Ankhon Mein Qayamat Ke Kajal
1528,Mera Pyar Woh Hai
1529,Sau Saal Jiyo Tum Jaan Meri
1530,Boojh Mera Kya Naam Re
1531,Kabhi Aar Kabhi Paar
1532,Kahin Pe Nigahen Kahin Pe Nishana
1541,Ek Do Teen
1542,Manzil Wohi Hai Pyar Ki
1543,O Meri Ladli
1552,Holi Aayi Re Kanhai
1553,Jawan Hain Mohabbat
1564,Mere Angne Mein
1565,Mere Desh Ki Dharti
1566,Bansuri Bajai Ke
1567,Chameli Ki Shaadi
1568,Dulhan Chali
1569,Mohabbat Ke Dushman
1572,Mausam Hai Baharon Ka
1573,Ude Panchhi Toli Mein
1574,Padosan Apni Murgi Ko Rakhna
1604,Aye Sanam Tere Liye
1605,Ding Dong O Baby Sing
1606,Ek Doosre Se Karte Hain Pyar Hum
1607,He Raju He Daddy
1608,Jeevan Sathi Saath Mein Rahna
1609,Le Le Chumma Le Le
1610,Main Hoon Hero
1611,Mere Jeevan Saathi
1612,Raat Ko Barah Baje
1613,Sanam Mere Sanam
1614,Sharafat Ali Ko Sharafat Ne Mara
1615,Tere Dil Ki Tu Jane
1621,Romeo Naam Mera
1622,Tu Roop Ki Rani Tu Choron Ka Raja
1625,Bhoot Bungla
1626,Tu Meri Mehbooba Hai
1628,Humen Tumse Pyar Kitna
1629,Tum Kya Jano Mohabbat Kya Hai
1637,Dekho Dekho Yeh To Kamaal Ho Gaya
1638,Hum Tum Hum Do Rahi
