1438,Chanda Re Chanda Re
1439,Ek Shararat Hone Ko Hai
1440,Awaara Bhanwara
1441,Bandhan Kat Gaye
1442,Dhadakte Dil Ki Tamanna
1443,Ek Daur Woh Bhi Tha
1444,Ek Din Kahin
1445,Foot Pathon Ke Hum
1446,Koi Jane Koi Na Jane
1447,Pital Ki Mori Gagri
1448,Rut Jawan Jawan
1449,Tera Mera Pehla Yaarana
1450,Tumhen Kaise
1451,Zindagi Cigarette Ka Dhuan
1452,Jadoo Bhari
1453,Mere Mehboob Mere Sanam
1454,Payalay Chunmun Chunmun
1455,Tare Hain Barati
1456,Kathai Aankhon Wali
1457,Keh Do Ek Baar Sajana
1458,Mana Ho Tum Behad Haseen
1459,Neela Aasman So Gaya
1460,Yun Zindagi Ki
1461,Dhol Bajne Laga
1462,Ek Bagiya Mein
1463,Humko Aajkal Hai Intezaar
1464,Meri Sanson Mein
1465,Strawberry Aankhen
1466,Pahle Chori Phir Seenajori
1467,Kahe Kanha Karat Barjori
1468,Nache Ang Ve
1533,Badal Jaye Agar Mali
1574,Padosan Apni Murgi Ko Rakhna
1619,He Baba Re Baba
1620,Jeevan Ek Sanghursh Hai
1621,Romeo Naam Mera
1622,Tu Roop Ki Rani Tu Choron Ka Raja
1639,Yeh Safar
1640,Ek Ladki Ko Dekha
1641,Kuchh Na Kaho
1642,Pyar Hua Chupke Se
1643,Rooth Na Jana
1702,Aana Hi Padega
1891,Mere Dil Mein Tu Hi Tu Hai
1892,Aaj Maine Apna
1893,Aap Bhi Aaiye
1894,Ab Agar Aao
1895,Dard Ke Phool Bhi
1896,Jaate Jaate Woh Mujhe
1897,Kabhi Yun Bhi To Ho
1898,Main Bhool Jaoon
1899,Maine Dil Se Kaha
1900,Mujhko Yaqeen Hai
1901,Sach Yeh Hai Bekhabar
1902,Shaam Hone Ko Hai
1903,Tamanna Phir Machal Jaaye
1904,Jhuki Jhuki Si Nazar
1905,Koi Yeh Kaise Bataye
1906,Pyar Mujh Se Jo Kiya
1907,Tum Itna Jo Muskura Rahe Ho
1908,Tum Ko Dekha To Yeh Khayal Aaya
1909,Ye Bata De
1910,Yeh Tera Ghar Yeh Mera Ghar
1911,Yun Zindagi Ki Raah Mein
1932,Apne Liye Jiye To Kya Jiye
1933,Tum Bin Jeevan
1934,Har Taraf Ab Yehi Afsane Hain
1988,Log Peete Hain
1989,Yeh Nain Dare Dare
1990,Ya Dil Ki Suno Duniyawalo
1991,Raah Bani Khud Manzil
2022,Ek Do Teen Char Aur Panch
2023,Waqt Ne Kiya Kya Haseen Sitam
2070,Teri Nigahon Pe Mar Mar Gaye Ham
2281,Aur Kuchh Der Thahar
2282,Jane Kya Dhoondti Rahti Hai
2283,Tera Husn Rahe Mera Ishq Rahe
2284,Mile Na Phool To Kanton Se Dosti
2285,Hai Kali Kali Ke Lab Par
2286,Haye Tabassum Tera
2287,Sara Mora Kajra Churaya Tumne
2288,Yeh Teri Saadgi Yeh Tera Bankpan
2289,Masti Mein Chhed Ke Tarane
2290,Ab Tumhare Hawale Vatan Sathiyon
2291,Main Yeh Sochkar Uske Dar Se Utha
2292,Meri Aawaz Suno
2293,Tere Kooche Mein Tera Deewana
2294,Tumhari Zulf Ke Saye Mein
2295,Yeh Mana Meri Jan Mohabbat
2296,Tum Jo Mil Gaye Ho
2297,Yeh Duniya Yeh Mehfil
2475,Ye Raat Hai Pyasi Pyasi
2561,Dekhi Zamane Ki Yaari
2568,Hindustan Ki Kasam
2571,Hoke Majboor Mujhe
2683,Thodasa Pagla
2684,Aane Wali Hai Bahar
2685,Bheegi Bheegi Faza
2686,Ja Ri Pawaniya Piya Ke Des Ja
2687,Kyun Mujhe Itni Khushi De Di
2688,Mera Dil Liye Ja
2689,Tere Jhoote Vade Ka Aitbar Kiya
2690,Piya Ki Gali Lage Bhali
2845,Tujhe Mili Roshni Mujhko Andhera
2855,Pyas Kuchh Aur Bhi Bhadka Di
2914,Woh Nazar Leke Rahi Dil
2915,Jis Din Se Maine Tumko Dekha
2982,San San San Woh Chali Hawa
3063,Nanha Sa Panchhi Re Tu
3064,Zindagi Aa Raha Hoon Main
3065,Simti Si Sharmai Si
3156,Bol Baby Bol Rock N Roll
3252,Bhor Aai Gaya Andhiyara
3260,Zindagi Hai Kya Bolo
3601,Baharon Mera Jeevan Bhi Sanwaro
3602,Bheega Bheega Mausam
3603,Jhoom Jhoom Dhalti Raat
3604,Mere Chanda Mera Nanhe
3605,O Beqarar Dil
3606,Tu Kahan Aa Gayi Zindagi
3607,Dhire Dhire Machal
3608,Jalta Hai Badan
3609,Leke Chali Mujhe Apne Saath
3610,Kuchh Dil Ne Kaha Kuchh Bhi Nahin
3611,Khelo Na Mere Dil Se
3612,Betaab Dil Ki Tamanna Yehi Hai
3613,Mast Pawan Dole Re
3614,Milo Na Tum To Hum Ghabraye
3615,More Naina Bahayen Neer
3616,Zara Si Aahat Hoti Hai
3617,Aaj Socha To Ansoo Bahr Aaye
3618,Do Dil Toote Do Dil Haare
3619,Duniya Banane Wale
3620,Hai Tere Saath Meri Wafa
3621,Tumse Bichhad Kar Chain Kahan
3622,Chalte Chalte Yun Hi Koi
3623,Yeh Kahan Aa Gaye Hum
3624,Neela Aasman So Gaya
3907,Abhi Kya Sunoge
3908,Do Din Ki Zindagi Kaisi Yeh Zindagi
3947,Kuchh Na Kaho
4153,Jeet Hi Lenge Baazi Hum Tum
4154,Meri Duniya Mein
4296,Mujhe Tum Yaad Karna
4297,Holi Ayee Re
4298,Dekha Ek Khwab
