4055,O Neend Na Mujhko Aaye
4120,Chahe Paas Ho Chahe Door Ho
2041,Naina Hai Jadu Bhare
4122,Door Kahin Tu Chal
3785,Pyar Mera Majboor Pardesi Saiyan
4096,Dil Lootnewale Jadugar
3777,Baje Payal Chhun Chhun
2140,Dum Dum Diga Diga
2133,Chhalia Mera Naam
2121,Mere Toote Huye Dil Se
3773,Teri Rahon Mein Khade Hai
2131,Mujhko Is Raat Ki Tanhai Mein
4097,Yeh Wada Karen Hum
3776,Ankhon Mein Tujhko Chhupake Sanam
1573,Ude Panchhi Toli Mein
2461,Govinda Aala Re Aala
4182,Husn Chala Kuchh Aisi Chaal
2007,Ae Dil Ab Kahin Le Ja
2135,Socha Tha Pyar Hum Na Karenge
2141,Chand Aahen Bharega
3761,Hamne Tujhko Pyar Kiya Hai
2118,Hamne Tujhko Pyar Kiya Hai
2128,Jo Pyar Tune Mujhko Diya Tha
2136,Chal Mere Dil Lahrake Chal
2465,Dil Beqarar Sa Hai
2125,Ham Chhod Chale Hain Mehfil Ko
3769,Ek Tu Na Mila Sari Duniya Mili
3790,Kankaria Maar Ke Jagaya
3760,Ek Tu Jo Mila Sari Duniya Mili
2143,Chand Si Mehbooba Ho Meri
2130,Main To Ek Khwab Hoon
2473,Tu Raat Khadi Thi Chhat Pe
2471,Yahan Main Ajnabi Hoon
2467,Pardesiyon Se Na Ankhiyan Milana
2466,Na Na Karte Pyar Tumhi Se
2474,Ek Tha Gul Aur Ek Thi Bulbul
2467,Pardesiyon Se Na Ankhiyan Milana
2468,Affoo Khudaya
3796,Ye Samaa Samaa Hai Pyar Ka
4100,Humsafar Mere Humsafar
2127,Jis Dil Mein Basa Tha Pyar Tera
2457,Akele Hai Chale Aao
2464,Yun Na Dekho Hamen Baar Baar
1952,Jab Pyar Kiya To Marna Kyun
3775,Aeji Zara Sunna
2132,Waqt Karta Jo Wafa Aap Hamare Hote
3762,Humne Jo Dekhe Sapne Sach Ho Gaya
4188,Kabhi Raat Din Hum Door The
3772,Khai Thi Kasam Ek Raat Sanam
4183,Ooi Amma
2455,O Dilbar Janiye
4186,Bekhudi Mein Sanam
2117,Chandan Sa Badan
3782,Main To Bhool Chali Babul Ka Des
2126,Hamne Apna Sab Kuchh Khoya
3768,Chhod De Sari Duniya
4098,Phool Tumhe Bheja Hai Khat Mein
2129,Khush Raho
1565,Mere Desh Ki Dharti
1950,Kasme Wade Pyar Wafa
2124,Deewano Se Mat Poochho
2459,Chandni Raat Mein
3754,Ganga Maiya Mein Jab Tak
1951,Ek Anar Do Bimar
3774,Aa Mere Gale Lag Ja
2462,Kuchh Kahen To Khafa
4185,Dilbar Dilbar Kahte Kahte Hua Deewana
2456,Chale The Saath Milkar
3758,Chandan Sa Badan Chanchal Chitwan
3771,Har Khushi Ho Wahan
2120,Chandi Ki Deewar
3307,Ankhon Ankhon Mein Hum Tum
3308,Yeh Duniyawale Poochhenge
2472,Tu Jangal Ki Morni
1561,Aap Se Humko Bichhade Huye
2879,Muskura Ke Humko Loota Aapne
3102,Shama Hai Suhana Suhana
1558,Ramchandra Kah Gaye
3759,Akele Hi Akele Chala Hai Kahan
4099,Kisi Raah Mein Kisi Mod Par
3784,Purva Suhani Aai Re
1568,Dulhan Chali
2139,Koi Jab Tumhara Hriday Tod De
1555,Bharat Ka Rahnewala Hoon
3107,Zindagi Ka Safar
3103,Jeevan Se Bhari Teri Ankhen
2137,Jo Tumko Ho Pasand Wohi Baat Karenge
3770,Ham The Jinke Sahare
3778,Ek Padosan Peechhe Pad Gayi
3780,Holi Aaee Re
2134,Meri Tamannaon Ki Taqdeer Tum
3791,Mera Pardesi Na Aaya
1572,Mausam Hai Baharon Ka
2753,Haye Mar Gayi O Mar Gayi
3794,Tum Humse Mile Hum Tumse Mile
2749,Twinkle Twinkle Little Star
1949,Nadiya Chale Chale Re Dhara
3779,Ho Gaye Tere Ho Gaye
2955,Pyar Se Dil Bhar De
2750,Yeh Ankhen Jhuki Jhuki Si
2454,Sukh Ke Sab Saathi
1566,Bansuri Bajai Ke
3764,Jiske Sapne Humen Ros Aate Hai
2469,Mere Mitwa Mere Meet Re
1559,Jhuke Jo Tere Naina
2142,Zuban Pe Dard Bhari Dastan
4189,O Sajna Dhol Jani
2745,Jo Dil Mein Basai Thi
3793,Tere Naina Kyon Bhar Aaye
3099,Priye Praneshwari
3088,Jo Tum Hansoge To
4189,O Sajna Dhol Jani
3111,Gussa Itna Haseen Hai To
2123,Darpan Ko Dekha Tune
2740,Dulhaniya Bata De Ri
2475,Ye Raat Hai Pyasi Pyasi
3757,Tere Umar Ki Phoolwari
2463,Ye Kaisa Maine Madhur Si
3096,Khana Milega Pina Milega
4304,Humare Siva Tumhare Aur
3304,Tum Mile Pyar Se
3085,Samjhauta Ghamon Se Karlo
2581,Badi Door Se Aaye Hain
3756,Samjhauta Ghamon Se Karlo
3752,Aarti Utaro Radheshyam Ki
3755,Kanhaiya Tujhe Aana Padega
3086,Are Rafta Rafta Dekho
2747,Dil Jalon Ka Dil Jala Ke
1953,Yari Hai Imaan Mera
3767,Bana Ke Kyon Bigada Re
3091,Agar Dil Hamara Sheeshe Ke Badle
2460,Ghodi Pe Hoke Sawar
4184,Deewane Hai Deewanon Ko
3098,Peene Wale Ko Peene Ka Bahana
4181,Wada Kar Le Sajna
3786,Tu Kya Jane O Bewafa
4303,Hum Ko Mohabbat Ho Gai Hai
3094,Hum Bolega To Bologe Ki Bolta Hai
3765,Mera Padhne Mein Nahin Lage Dil
3766,Roothe Roothe Piya
3105,Mera Jeevan Kora Kagaz
3781,Kiske Seene Par Sar
1556,Bolo Shiv Shiv Shambhu
4302,Ho Jata Hai Pyar
2742,Yeh Time Time Ki Baat
2752,Baby Ho Gayi Hai Jawan
3104,Tere Chehre Mein Woh Jadoo Hai
2138,Kya Khoob Lagti Ho
2119,Tumne Kisi Se Kabhi Pyar Kiya Hai
2743,Kisi Pe Dil Agar Aa Jaye To
1563,Tum Ko Mere Dil Ne Pukara
1562,Ae Zamane Tu Kar Le Sitam Pe Sitam
3092,Apne Jeevan Ki Uljhan Ko
2746,Chhuk Chhuk
