01575,Ab Ke Baras
01576,O Maiya Beta Tumko Pukare
01577,Yeh Pyar Tha Ya Kuchh Aur Tha
01578,Main Hoon Prem Rogi
01579,Aur Nahin Bas Aur Nahin
01580,Aye Watan Tere Liye
01581,Jooma Chumma De De
01582,Tu Kal Chala Jayega
01583,Jise Maut Aai
01584,Mere Do Anmol Ratan
01585,Ilu Ilu
01586,Too Mera Hero Hai
01587,Bajoo Bandh
01588,Jan-E-Man Jan-E-Jigar
01589,Maine Rab Se Tujhe
01590,Mohabbat Ki Ki
01591,O Mere Khwabon Ke Shehzade
01592,Kagaz Kalam Davaat
01593,Lambi Judaai
01594,Tere Mere Beech Mein
01595,Ameeron Ki Sham Gharibon Ke Naam
01596,Aye Mohabbat Teri Dastan
01597,Bekhudi Ka Bada Sahara Hai
01598,Duniya Mein Kitna Gham Hai
01599,Duniya Mein Kitna Gham
01600,Duniya Mein Tera Hai Bada Naam
01601,Maine Jee Liya Mar Liya
01602,Mohabbat Ab Tijarat Ban Gai Hai
01603,Saudagar Sauda Kar
01604,Aye Sanam Tere Liye
01605,Ding Dong O Baby Sing
01606,Ek Doosre Se Karte Hain Pyar Hum
01607,He Raju He Daddy
01608,Jeevan Sathi Saath Mein Rahna
01609,Le Le Chumma Le Le
01610,Main Hoon Hero
01611,Mere Jeevan Saathi
01612,Raat Ko Barah Baje
01613,Sanam Mere Sanam
01614,Sharafat Ali Ko Sharafat Ne Mara
01615,Tere Dil Ki Tu Jane
01616,Yaad Aanewale
01617,Main Shayer To Nahin
01618,Chitthi Aai Hai
01619,He Baba Re Baba
01620,Jeevan Ek Sanghursh Hai
01621,Romeo Naam Mera
01622,Tu Roop Ki Rani Tu Choron Ka Raja
01917,Raat Ghataye Jaadu Khushboo
01954,Jeevan Chalne Ka Naam
01955,O Meri Maina
01956,Na Mangun Sona Chandi
01957,Darpan Jhoot Na Bole
01958,Yeh Natak Kavi Likh Gaye Kalidas
02144,Jot Se Jot Jagake Chalo
02145,Gore Gore Chand Se Mukh Pe
02146,Tum Bin Jeevan Kaise Beeta
02147,Tauba Yeh Matwali Chaal
02148,Khushi Ki Woh Raat Aa Gayi
02149,Taron Mein Sajke Apne Suraj Se
02150,Yeh Duniya Ek Numbri
02151,Chanchal Sheetal Nirmal Komal
02152,Jane Chale Jate Hain Kahan
02153,Main To Deewana
02154,Ram Kare Aisa Ho Jaye
02155,Tan Mann Dhan Sab Hai Tera
