1918,Balma Beimaan Na Mane.mp3
1919,Teri Galiyon Mein Hum Aaye.mp3
1920,Yeh Kahani Hai Diya Aur Toofan Ki.mp3
1921,Phir Kahin Koi Phool Khila.mp3
1922,Ae Mere Pyare Watan.mp3
1923,Hansne Ki Chah Ne Kitna Mujhe.mp3
1924,Kya Hawa Chali Baba Ritu Badli.mp3
1925,Masti Kahan Hai.mp3
1926,Kaun Aaya Mere Mann Ke Dware.mp3
1927,Apne Suron Mein.mp3
1928,Usko Nahin Dekha Humne Kabhi.mp3
1929,Zindagi Kaisi Hai Paheli.mp3
1930,Laga Chunari Mein Daag.mp3
1931,Ae Mere Zohra Jabeen.mp3
1932,Apne Liye Jiye To Kya Jiye.mp3
1933,Tum Bin Jeevan.mp3
1934,Har Taraf Ab Yehi Afsane Hain.mp3
1935,Dost Kahan Koi Tumsa.mp3
1936,Chham Chham Baje Re Payaliya.mp3
1937,Hai Jag Mein Jiska Naam Amar.mp3
1938,Jhanak Jhanak Tori Baje Payelia.mp3
1939,Kaal Ka Pahiya Ram Krishna Hari.mp3
1940,Muskura Ladle Muskura.mp3
1941,Tu Pyar Ka Sagar Hai.mp3
1942,Sur Na Saje.mp3
1943,Ae Bhai Zara Dekh Ke Chalo.mp3
1944,Chalat Musafir.mp3
1945,Dil Ka Haal Sune Dilwala.mp3
1946,Ketaki Gulab Juhi.mp3
1947,Lapak Jhapak Tu Aa Re Badarwa.mp3
1948,Meri Bhains Ko Danda Kyon Mara.mp3
1949,Nadiya Chale Chale Re Dhara.mp3
1950,Kasme Wade Pyar Wafa.mp3
1951,Ek Anar Do Bimar.mp3
1952,Jab Pyar Kiya To Marna Kyun.mp3
1953,Yari Hai Imaan Mera.mp3
1954,Jeevan Chalne Ka Naam.mp3
1955,O Meri Maina.mp3
1956,Na Mangun Sona Chandi.mp3
1957,Darpan Jhoot Na Bole.mp3
1958,Yeh Natak Kavi Likh Gaye Kalidas.mp3
1959,Aao Aao Sanwariya.mp3
1960,Aayo Kahan Se Ghanshyam.mp3
1961,Aao Twist Karen.mp3
1962,Allah Jane Main Hoon Kaun.mp3
1963,Poochho Na Kaise Maine.mp3
1964,Hum Chhupe Rustam Hain.mp3
1965,Are Kisne Chilman Se Mara.mp3
2026,Duniya Mein Do Sayane.mp3
2027,Main Tere Pyar Mein.mp3
2028,Aan Milo Shyam Sanware.mp3
2029,Sajan Ki Ho Gayi Gori.mp3
2163,Na Tum Ho Yaar Aloo.mp3
2566,Vakif Hoon Khub Ishq Ke.mp3
2567,Yeh Hai Ishq Ishq.mp3
2568,Hindustan Ki Kasam.mp3
2569,Ae Dost Mere Maine Duniya Dekhi Hai.mp3
2570,Taqat Watan Ki Hum Se Hai.mp3
2571,Hoke Majboor Mujhe.mp3
2861,Tu Chhupi Hai Kahan.mp3
2862,Re Mann Sur Mein Ga.mp3
2863,Kaate Na Kaate Raina.mp3
2864,Mud Mud Ke Na Dekh Mud Mud Ke.mp3
2865,Yeh Umar Hai Kya Rangeeli.mp3
2866,Aai Kisiki Yaad To.mp3
2867,Kachhi Kali Kachnar Ki.mp3
2868,Holi Re Holi.mp3
2869,Mere Samnewale Kamre Mein.mp3
2870,Sanjh Dhali.mp3
2882,Dilruba Dilliwali.mp3
2983,Happy Birthday To You.mp3
2984,Chandi Ka Badan Sone Ki Nazar.mp3
2985,Na To Caravan Ki Talash Hai.mp3
2986,Dukh Bhare Din Beete Re Bhaiya.mp3
3252,Bhor Aai Gaya Andhiyara.mp3
3253,Kamal Hai.mp3
3254,Ek Chatur Naar Karke Sringar.mp3
3255,Babu Samjho Ishare.mp3
4032,Dharti Kahe Pukaar Ke.mp3
4033,Masti Bhara Hai Saman.mp3
4034,Batt Takat Thak Gaye Naina.mp3
4035,Belia Belia.mp3
4036,Chadh Gayo Papi Bichhua.mp3
4037,Umadh Ghumadh Kar Aai Re Ghata.mp3
4038,Bheegi Chandni Chhai Bekhudi.mp3
4039,Preetam Daras Dikhao.mp3
4040,Woh Chand Muskaya.mp3
4041,Jhoomta Mausam Mast Mahina.mp3
4042,Jahan Main Jati Hoon.mp3
4043,Nain Mile Chain Kahan.mp3
4044,Tere Bina Aag Yeh Chandni.mp3
4045,Dil Ki Girah Khol Do.mp3
4046,Pyar Hua Iqrar Hua.mp3
4047,Yeh Raat Bheegi Bheegi.mp3
4048,Aaja Sanam Madhur Chandni Mein.mp3
4049,Yashomati Maiya Se Bole Nandlala.mp3
4050,Tum Gagan Ke Chandrama Ho.mp3
4051,Sham Dhale Jamuna Kinare.mp3
4052,Chunri Sambhal Gori.mp3
4118,Ham Bhi Hain Tum Bhi Ho.mp3
4379,Goyake Chunanche Kiya Maine Pyar.mp3
4380,Logon Ki Zuban Pe Apna Naam.mp3
