2030,Oh Re Taal Mile Nadi Ke Jal Mein
2031,Chamke Chand Poonam Ka
2032,Gardish Mein Ho Tare
2033,Hum Hindustani
2034,Kai Baar Yun Bhi Dekha Hai
2035,Mera Rang De Basanti Chola
2036,Tel Malish Boot Polish
2037,Yeh Kaun Chitrakar Hai
2038,Zindagi Khwab Hai
2039,Barkha Rani Zara Jamke Barso
2040,Main To Har Mod Par
2041,Naina Hai Jadu Bhare
2042,Jhumti Chali Hawa
2043,Aansoo Bhari Hai Ye Jeevan Ki
2044,Dil Jalta Hai To Jalne De
2045,Haan Deewana Hoon Main
2046,Jab Gham-E-Ishq Satata Hai
2047,Nayan Hamare Sanjh Sakare
2048,Saranga Teri Yaad Mein
2049,Teri Duniya Mein Dil Lagta Nahin
2050,Wafa Jin Se Ki Bewafa Ho Gaye
2051,Zinda Hoon Is Tarah
2052,Dulhan Se Tumhara Milan Hoga
2053,Haan Maine Bhi Pyar Kiya
2054,Haseen Ho Khuda To Nahin Ho
2055,Yeh Din Kya Aaye
2056,Yeh Mausam Rangeen Sama
2057,Preet Lagake Maine Yeh Fal Paya
2058,Tumne Mujhe Dekha
2059,Gaa Deewane Jhoom Ke
2060,Suhana Safar Aur Yeh Mausam
2061,Kahin Door Jab Din Dhal Jaye
2062,Aaya Hai Mujhe Phir Yaad
2063,Woh Tere Pyar Ka Gham
2064,Zikra Hota Hai Jab Qayamat Ka
2065,Tum Agar Mujhko Na Chaho To
2066,Chin-O-Arab Hamara Hindustan
2067,Woh Subah Kabhi To Aayegi
2068,Chura Le Na Tumko Ye Mausam Suhana
2069,Main Pal Do Pal Ka Shayer Hoon
2070,Teri Nigahon Pe Mar Mar Gaye Ham
2071,Maine Tere Liye
2072,Chal Akela Chal Akela
2073,Jis Desh Mein Ganga Behti Hai
2074,Kehta Hai Joker Sara Zamana
2075,Mera Naam Raju
2076,Sajan Re Jhoot Mat Bolo
2077,Bas Yehi Apradh Main Har Baar
2078,Chhoti Si Yeh Zindagani
2079,Honthon Pe Sachai
2080,Sabse Bada Naadan
2081,Bol Radha Bol
2082,O Mehbooba
2083,Ruk Ja O Janewali Ruk Ja
2084,Aaya Na Humko Pyar Jatana
2085,Chale Jana Zara Thahro
2086,Jana Tumhare Pyar Mein
2087,Matwali Naar Thumak Thumak
2088,Dost Dost Na Raha Pyar Pyar Na Raha
2089,Raat Aur Din Diya Jale
2090,Duniya Bananewale
2091,Ham To Jate Apne Gaon
2092,Hanste Bhi Rahe Rote Bhi
2093,Hum Tujhse Mohabbat Karke Sanam
2094,Jaoon Kahan Bata Ae Dil
2095,Main Nashe Mein Hoon
2096,Mujhe Mere Haal Pe Chhod Do
2097,Sab Kuchh Seekha Hum Ne
2098,Sajanwa Bairi Ho Gayi Hamar
2099,Teri Yaad Dilse Bhulane Chala Hoon
2100,Yeh Mera Deewanapan Hai
2101,Duniya Ki Sair Kar Lo
2102,Gangaram Ki Samajh Mein Na Aaye
2103,Joshe Jawani Hai Re Hai
2104,Main Aashiq Hoon Baharon Ka
2105,Pyar Kar Le
2106,Sunoji Suno Hamari Bhi Suno
2107,Yaad Aai Aadhi Raat Ko
2108,Kisi Ki Muskurahaton Se
2109,Awara Hoon
2110,Jane Kahan Gaye Woh Din
2111,Jeena Yahan Marna Yahan
2112,Mera Joota Hai Japani
2113,Gaaye Ja Geet Milan Ke
2114,Mera Pyar Bhi Tu Hai
2115,Tu Kahe Agar
2116,Jhoom Jhoom Ke Nacho Aaj
2117,Chandan Sa Badan
2118,Hamne Tujhko Pyar Kiya Hai
2119,Tumne Kisi Se Kabhi Pyar Kiya Hai
2120,Chandi Ki Deewar
2121,Mere Toote Huye Dil Se
2122,Chahe Aaj Mujhe Na Pasand Karo
2123,Darpan Ko Dekha Tune
2124,Deewano Se Mat Poochho
2125,Ham Chhod Chale Hain Mehfil Ko
2126,Hamne Apna Sab Kuchh Khoya
2127,Jis Dil Mein Basa Tha Pyar Tera
2128,Jo Pyar Tune Mujhko Diya Tha
2129,Khush Raho
2130,Main To Ek Khwab Hoon
2131,Mujhko Is Raat Ki Tanhai Mein
2132,Waqt Karta Jo Wafa Aap Hamare Hote
2133,Chhalia Mera Naam
2134,Meri Tamannaon Ki Taqdeer Tum
2135,Socha Tha Pyar Hum Na Karenge
2136,Chal Mere Dil Lahrake Chal
2137,Jo Tumko Ho Pasand Wohi Baat Karenge
2138,Kya Khoob Lagti Ho
2139,Koi Jab Tumhara Hriday Tod De
2140,Dum Dum Diga Diga
2141,Chand Aahen Bharega
2142,Zuban Pe Dard Bhari Dastan
2143,Chand Si Mehbooba Ho Meri
2144,Jot Se Jot Jagake Chalo
2145,Gore Gore Chand Se Mukh Pe
2146,Tum Bin Jeevan Kaise Beeta
2147,Tauba Yeh Matwali Chaal
2148,Khushi Ki Woh Raat Aa Gayi
2149,Taron Mein Sajke Apne Suraj Se
2150,Yeh Duniya Ek Numbri
2151,Chanchal Sheetal Nirmal Komal
2152,Jane Chale Jate Hain Kahan
2153,Main To Deewana
2154,Ram Kare Aisa Ho Jaye
2155,Tan Mann Dhan Sab Hai Tera
2156,Ek Din Bik Jayega Mati Ke Mol
2157,Lalla Lalla Lori Doodh Ki Katori
2158,Suhani Chandni Raaten
2159,Jis Gali Mein Tera Ghar
2160,O Janewale Ho Sake To Laut Ke Aana
2161,Yeh Kisne Geet Chheda
2162,Ae Dil-E-Awara Chal
2163,Na Tum Ho Yaar Aloo
2164,Khayalon Mein Kisi Ke Is Tarah
2579,Dil Ne Phir Yaad Kiya
2580,Jis Pyar Mein Yeh Haal Ho
2581,Badi Door Se Aaye Hain
2873,Hum Dono Milke Kagaz Pe Dil Pe
2874,Phir Na Kije Meri Gustakh
2875,Woh Subah Kabhi To Aayegi
2876,Teetar Ke Do Aage Teetar
2877,Nain Tumhare Mazedar
2878,Daagh Na Lag Jaye
2879,Muskura Ke Humko Loota Aapne
2880,Ae Meri Jaan
2881,Nateeja Humari Mohabbat Ka
2882,Dilruba Dilliwali
2987,Holi Khelat Nandlala
3258,Haal Chaal Thik Thak Hai
3259,Yeh Kaisa Aaya Zamana
3260,Zindagi Hai Kya Bolo
3358,Tick Tick Tick Chalti Jaye Ghadi
4064,Bade Armanon Se
4065,Bikhra Ke Zulfen Chaman Mein
4066,Ek Raat Mein Do Do Chand Khile
4067,Mehlon Ne Chheen Liya Bachpan
4068,Nain Dwar Se Mann Mein Woh Aake
4069,Zindagi Ka Ajab Fasana Hai
4070,Nain Dwar Se Mann Mein Woh Aake
4071,Ek Manzil Rahi Do
4072,Dekho Mausam Kya Bahar Hai
4073,Dil Tadap Tadap Ke Kah Raha
4074,Kabhi Kabhi Mere Dil Mein
4075,Ichak Dana Beechak Dana
4076,Woh Chand Khila Woh Tare
4077,Ae Dil Na Mujhse Chhupa
4078,Allah Jane Kya Hoga Aage
4079,Dum Bhar Jo Udhar Munh Phere
4080,Duniya Walon Se Door
4081,Nee Baliye Rut Hai Bahar Ki
4082,Tum Roothi Raho
4083,Aa Ab Laut Chalen
4084,Aa Ja Re Ab Mera Dil Pukare
4085,Bol Meri Taqdeer Mein Kya Hai
4086,Chhod Gaye Balam Mujhe
4087,Lakhon Tare Aasman Per
4088,Har Dil Jo Pyar Karega
4089,Ankhon Mein Rang Kyon Aaya
4090,Apni Ulfat Pe Zamane Ka
4091,Begani Shadi Mein Abdulla Deewana
