0001,Dil Deewana
0002,Gawah Hai Chand Tare
0003,Gori Tera Gaon Bada Pyara
0004,Jab Se Tumhen Dekha
0005,Mera Chand Mujhe Aaya Hai Nazar
0006,Mere Piya Gaye Rangoon
0007,Mere Rang Mein Rangne Wali
0008,Pehla Pehla Pyar
0009,Tu Is Tarah Se
0010,Aaj Se Pehle Aaj Se Jyada
0011,Aana Meri Jaan Sunday Ke Sunday
0012,Bin Sajan Jhoola Jhulu
0013,Chand Jaise Mukhde Pe
0014,Dekh Chand Ki Or
0015,Dekho Pyar Mein Aisa Nahin Karte
0016,Dil Ke Tukde Tukde Karke
0017,Dulhan Si Saji Dharti
0018,Ek Din Tum Bahut Bade Banoge
0019,Gunche Lage Hain Kahne
0020,Jab Deep Jale Aana
0021,Janu Janu Janu
0022,Kai Din Se Mujhe
0023,Main Hi Main Hoon
0024,O Goriya Re
0025,Sawan Ko Aane Do
0026,Shyamal Shyamal Baran
0027,Sunayana Sunayana
0028,Tere Jaisa Pyara Koi Nahin
0029,Tere Nainon Ne Chori Kiya
0030,Tu Jo Mere Sur Mein Sur Milaye
0031,Tumhen Ho Na Ho
0032,Woh Paas Rahe Ya Door
0033,Zid Na Karo Ab To Ruko
1394,Pehla Nasha
1395,Dil Aashna Hai
1396,Teri Ankhon Ki Chahat Mein
1406,Tu Mile Dil Khile
1411,Chandni O Meri Chandni
1412,Gali Mein Chand
1413,Jaadu Teri Nazar
1414,Ruk Ja O Dil Deewane
1415,Sajan Sajan Teri Dulhan
1416,Yeh Lamhe Yeh Pal
1417,Khoobsurat
1418,Maine Sawan Se Kaha
1419,Phool Phool Pe Bani Hai Teri Tasveer
1427,Chalo Ek Baar Phir Se
1428,Tum Agar Saath Dene Ka Vada Karo
1429,Kisi Patthar Ki Murat Se
1430,Salam-E-Hasrat Qubool Kar Lo
1452,Jadoo Bhari
1453,Mere Mehboob Mere Sanam
1454,Payalay Chunmun Chunmun
1455,Tare Hain Barati
1456,Kathai Aankhon Wali
1457,Keh Do Ek Baar Sajana
1458,Mana Ho Tum Behad Haseen
1466,Pahle Chori Phir Seenajori
1475,Do Deewane Shaher Mein
1476,Mausam Mausam Lovely Mausam
1526,Lakhon Hain Yahan Dilwale
1538,Chale Jana Zara Thahro
1546,Chandni Aai Ban Ke Pyar
1559,Jhuke Jo Tere Naina
1560,Tera Mera Pyar Amar
1578,Main Hoon Prem Rogi
1585,Ilu Ilu
1586,Too Mera Hero Hai
1587,Bajoo Bandh
1588,Jan-E-Man Jan-E-Jigar
1589,Maine Rab Se Tujhe
1590,Mohabbat Ki Ki
1591,O Mere Khwabon Ke Shehzade
1617,Main Shayer To Nahin
1624,Ham Ne Tum Ko Dekha
1630,Rim Jhim Rim Jhim
1632,Bade Achhe Lagte Hain
1633,Koi Pardesi Aaya Pardes Mein
1634,Teri Tasveer Mil Gayi
1635,Tumne Di Awaz
1640,Ek Ladki Ko Dekha
1641,Kuchh Na Kaho
1642,Pyar Hua Chupke Se
1643,Rooth Na Jana
1651,Huzur Is Kadar
1655,Saiyan Dil Mein Aana Re
1660,Na Tum Hamen Jano
1661,Sun Mere Bandhu Re Sun Mere Mitwa
1697,Hamse Aaya Na Gaya
1711,Milte Hi Ankhen Dil Hua Deewana
1921,Phir Kahin Koi Phool Khila
1926,Kaun Aaya Mere Mann Ke Dware
1931,Ae Mere Zohra Jabeen
1956,Na Mangun Sona Chandi
1967,Lahron Pe Laher
1968,Na Jao Saiyan Chhuda Ke Baiyan
1969,Na Yeh Chand Hoga
1970,Piya Aiso Jiya Mein Samaya Gayo
1971,Tum Aur Hum Bhool Ke Gham
1972,Zara Nazron Se Kah Do Ji
1985,Beqarar Karke Hamen Yun Na Jaiye
1989,Yeh Nain Dare Dare
1992,Tum Pukar Lo Tumhara Intezar Hai
1993,Meri Jaan Mujhe Jaan Na Kaho
2003,Kaisa Jadoo Balam Tune Dara
2013,Hai Apna Dil To Aawara
2014,Na Tum Hamen Jano Na Hum
