01534,Behna Ne Bhai Ki Kalai Se
01535,Dekho Mera Dil Machal Gaya
01536,I Love You
01537,Titli Udi Ud Jo Chali
01538,Chale Jana Zara Thahro
01539,Chale Ja Chale Ja Jahan Pyar Miley
01540,Kho Gaya Hai Mera Pyar
01541,Ek Do Teen
01542,Manzil Wohi Hai Pyar Ki
01543,O Meri Ladli
01704,Tum To Dil Ke Taar Chhed Kar
01705,Ham Unke Paas Aate Hain
01706,Koi Nahin Mera Is Duniya Mein
01707,Ae Mere Dil Kahin Aur Chal
01708,Andhe Jahan Ke Andhe Raste
01936,Chham Chham Baje Re Payaliya
01937,Hai Jag Mein Jiska Naam Amar
01938,Jhanak Jhanak Tori Baje Payelia
01939,Kaal Ka Pahiya Ram Krishna Hari
01940,Muskura Ladle Muskura
01941,Tu Pyar Ka Sagar Hai
01942,Sur Na Saje
01943,Ae Bhai Zara Dekh Ke Chalo
01944,Chalat Musafir
01945,Dil Ka Haal Sune Dilwala
01946,Ketaki Gulab Juhi
01947,Lapak Jhapak Tu Aa Re Badarwa
01948,Meri Bhains Ko Danda Kyon Mara
02006,Karib Aao Na
02073,Jis Desh Mein Ganga Behti Hai
02074,Kehta Hai Joker Sara Zamana
02075,Mera Naam Raju
02076,Sajan Re Jhoot Mat Bolo
02077,Bas Yehi Apradh Main Har Baar
02078,Chhoti Si Yeh Zindagani
02079,Honthon Pe Sachai
02080,Sabse Bada Naadan
02081,Bol Radha Bol
02082,O Mehbooba
02083,Ruk Ja O Janewali Ruk Ja
02084,Aaya Na Humko Pyar Jatana
02085,Chale Jana Zara Thahro
02086,Jana Tumhare Pyar Mein
02087,Matwali Naar Thumak Thumak
02088,Dost Dost Na Raha Pyar Pyar Na Raha
02089,Raat Aur Din Diya Jale
02090,Duniya Bananewale
02091,Ham To Jate Apne Gaon
02092,Hanste Bhi Rahe Rote Bhi
02093,Hum Tujhse Mohabbat Karke Sanam
02094,Jaoon Kahan Bata Ae Dil
02095,Main Nashe Mein Hoon
02096,Mujhe Mere Haal Pe Chhod Do
02097,Sab Kuchh Seekha Hum Ne
02098,Sajanwa Bairi Ho Gayi Hamar
02099,Teri Yaad Dilse Bhulane Chala Hoon
02100,Yeh Mera Deewanapan Hai
02101,Duniya Ki Sair Kar Lo
02102,Gangaram Ki Samajh Mein Na Aaye
02103,Joshe Jawani Hai Re Hai
02104,Main Aashiq Hoon Baharon Ka
02105,Pyar Kar Le
02106,Sunoji Suno Hamari Bhi Suno
02107,Yaad Aai Aadhi Raat Ko
02108,Kisi Ki Muskurahaton Se
02109,Awara Hoon
02110,Jane Kahan Gaye Woh Din
02111,Jeena Yahan Marna Yahan
02112,Mera Joota Hai Japani
02322,Aa Gale Lagja
02323,Ajhun Na Aye Balamwa
02324,Aji Humse Bachkar Kahan Jaiye Ga
02325,Badi Der Bhai Kab Loge Khabar
02326,Badkamma Ekad Boto Ra
02327,Chale Ja Chale Ja Jahan Pyar Miley
02328,Hai Na Bolo Bolo
02329,Hamne Jafa Na Seekhi
02330,Kal Ki Daulat Aaj Ki Khushian
02331,Pyar Ka Saaz Bhi Hai
02332,Sawere Vali Gaadi Se
02333,Tujhe Pyar Karte Hain
02334,Ae Nargise Mastana
02335,Ae Phoolon Ki Rani
02336,Aye Gulbadan
02337,Ehsan Tera Hoga Mujh Par
02338,Lal Chhadi Maidan Khadi
02339,Teri Pyari Pyari Soorat Ko
02340,Tum Mujhe Yun Bhula Na Paoge
